channel_name,subscribers,total_views,total_videos,category,monthly_earnings,country,engagement_rate
MrBeast,448000000,98950000000,913,Entertainment,5000000,USA,0.0523
T-Series,306000000,317050000000,24600,Music,3000000,India,0.0031
Cocomelon - Nursery Rhymes,198000000,210300000000,1770,Kids,2500000,USA,0.0054
SET India,187000000,182890000000,161700,Entertainment,3200000,India,0.0042
Vlad and Niki,146000000,114060000000,960,Kids,2000000,USA/Russia,0.0189
✿ Kids Diana Show,137000000,120090000000,1460,Kids,2300000,Ukraine,0.0142
Stokes Twins,132000000,26320000000,395,Entertainment,1000000,USA,0.0498
Like Nastya,131000000,117140000000,999,Kids,2100000,USA/Russia,0.0123
김프로KIMPRO,124000000,114590000000,3600,Education,1500000,South Korea,0.0098
Zee Music Company,121000000,82740000000,15070,Music,1800000,India,0.0040
WWE,111000000,99200000000,88700,Sports,2000000,USA,0.0062
PewDiePie,110000000,29430000000,4650,Gaming,600000,Sweden,0.0381
Goldmines,108000000,31310000000,12300,Movies,1200000,India,0.0056
Sony SAB,104000000,136010000000,104200,Entertainment,2800000,India,0.0043
BLACKPINK,99200000,40360000000,637,Music,1200000,South Korea,0.0614
ChuChu TV Nursery Rhymes,97800000,57130000000,975,Kids,1500000,India,0.0068
Alan's Universe,97300000,57120000000,1480,Kids,1300000,USA,0.0059
Zee TV,95700000,109810000000,219300,Entertainment,2400000,India,0.0041
Alejo Igoa,94400000,28770000000,1260,Entertainment,900000,Argentina,0.0367
A4,90900000,35880000000,1030,Entertainment,1100000,Russia,0.0452

